actor,avg_movie_rating,avg_votes_per_movie,total_movies,rating_std_dev,high_rated_movie_count,career_span,recent_avg_rating,is_rating_std_dev_missing,is_recent_avg_rating_missing
nm2217619,4.833333174387614,2703.0,3,0.8082903336037243,0,5,4.699999809265137,0,0
nm0457600,6.587499976158142,531.875,8,0.3313932196609157,0,5,6.625,0,0
nm1742436,5.019999980926514,559.0,5,0.9884331618246206,0,20,4.6499998569488525,0,0
nm2259018,5.925000071525574,11667.5,4,1.2996793088527276,0,14,7.0,0,0
nm2107893,3.9666666984558105,183.33333333333331,3,1.3428824517774411,0,3,3.0,0,0
nm3513533,6.800000122615269,225711.14285714287,7,1.2328827335543604,1,4,6.800000122615269,0,0
nm1232596,5.154545437205922,489.9090909090909,12,1.1682153831156117,0,29,5.350000143051148,0,0
nm6160535,6.750000079472859,17065.0,6,1.070980861510633,1,7,8.0,0,0
nm4591023,5.233333428700765,69.0,4,0.5131601811133959,0,11,4.800000190734863,0,0
nm10943061,5.5,36.25,6,0.976387979197446,0,7,5.766666730244954,0,0
nm6902738,5.200000047683716,66.66666666666667,3,2.00748611231617,0,3,5.0,0,0
nm1683133,5.8,34751.2,5,0.7874008237362196,0,17,6.333333333333333,0,0
nm3631575,5.180000066757202,391.0,6,1.578606921498513,0,12,4.900000095367432,0,0
nm7947106,5.1499998569488525,204.0,4,2.19203095424334,0,5,3.5999999046325684,0,0
nm0707496,6.95238090696789,41.285714285714285,36,1.6687177987050903,7,67,6.199999809265137,0,0
nm8829152,5.9999998807907104,3714.0,4,1.663329821310895,1,4,6.233333110809326,0,0
nm4167785,5.937500044703484,210.1875,33,1.3255816190480807,1,19,6.333333492279053,0,0
nm7497416,6.800000031789144,12.666666666666666,3,1.94679217705818,1,3,6.800000031789144,0,0
nm1537329,7.175000071525574,25.25,6,1.1086780884311964,1,4,7.175000071525574,0,0
nm2361286,6.299999872843425,268.0,3,1.4730919571327905,0,1,6.299999872843425,0,0
nm0097182,6.349999904632568,11.5,6,1.0606601717798212,0,12,7.099999904632568,0,0
nm9982252,5.349999904632568,48.0,3,1.0606601717798212,0,3,4.599999904632568,0,0
nm7783470,7.25,902.5,3,0.0707109478584852,0,5,7.25,0,0
nm7237707,4.99999996026357,733.6666666666666,6,1.1027239079507445,0,4,3.299999952316284,0,0
nm5545511,5.416666666666667,679.8333333333334,6,0.7730891084884883,0,7,5.775000095367432,0,0
nm11011523,6.300000190734863,25.0,4,0.7071067811865476,0,2,6.300000190734863,0,0
nm6006903,5.766666730244954,37459.333333333336,3,0.9237606509450506,0,3,5.5,0,0
nm5677992,6.959999942779541,433.6,6,0.5412947476326553,0,5,7.199999968210856,0,0
