director_id,director_experience,director_quality,director_total_votes
nm0636940,3,4.266666650772095,9207
nm2406836,2,4.599999904632568,810
nm2348718,5,5.679999971389771,650
nm3927264,1,4.5,130
nm11239527,1,3.0999999046325684,38
nm1954072,1,6.800000190734863,10985
nm7243877,2,7.1000001430511475,34443
nm11241276,2,6.8500001430511475,4877
nm11243881,1,6.0,15
nm1995152,2,6.849999904632568,518
nm3739529,1,6.800000190734863,96
nm1225010,1,9.600000381469727,7
nm1819805,1,3.200000047683716,394
nm1072648,1,8.600000381469727,38
nm1909039,2,5.050000190734863,610
nm6096049,1,9.800000190734863,6
nm10938364,1,6.900000095367432,15
nm0152970,1,6.400000095367432,17
nm11269670,1,7.300000190734863,14
nm7993887,1,9.100000381469727,10
nm0379773,2,5.799999952316284,2752
nm0615482,2,3.8000000715255737,1080
nm11283537,1,8.199999809265137,19
nm0739117,6,5.316666603088379,1125
nm4547447,1,6.800000190734863,404
nm5945892,1,5.599999904632568,8
nm2639966,2,6.5,5182
nm0392082,1,6.300000190734863,43
nm3337079,1,6.400000095367432,129
nm2468927,1,7.800000190734863,394
nm0347492,2,6.549999952316284,3028
nm2877279,1,8.300000190734863,46
nm2098548,1,7.199999809265137,83
nm6591494,1,4.900000095367432,648
nm11076906,1,7.400000095367432,9
nm10635318,1,5.400000095367432,59
nm9279296,1,8.399999618530273,7
nm8331751,2,6.650000095367432,95
nm11292084,1,6.099999904632568,711
nm6923829,1,5.5,17
nm1232317,2,6.0,139
nm3188959,3,5.50000015894572,1312
nm1310861,1,5.599999904632568,13260
nm0142461,1,6.199999809265137,215
nm5604887,1,7.800000190734863,7
nm2100774,1,6.400000095367432,429
nm11309453,1,2.4000000953674316,39
nm4520964,3,7.566666920979817,243
nm1622543,7,4.428571360451834,159
nm2152398,3,5.233333269755046,250
nm2347386,2,5.849999904632568,4105
nm7466077,3,4.500000079472859,2507
nm5580171,1,6.300000190734863,17
nm4553929,1,6.599999904632568,41
nm2158446,1,7.900000095367432,232
nm0378893,3,5.8666666348775225,41555
nm4962254,2,5.799999952316284,63
nm7702242,1,4.099999904632568,694
nm9707564,1,5.0,218
nm1347151,1,5.599999904632568,38
nm4726966,3,4.833333333333333,1363
nm10917116,1,4.0,27
nm0006498,1,7.099999904632568,4189
nm7334874,1,6.699999809265137,688
nm5276407,1,6.300000190734863,37
nm3149885,1,5.199999809265137,49
nm1583171,4,5.174999952316284,2255
nm10159269,1,8.199999809265137,18
nm4425125,1,5.800000190734863,29
nm5683502,2,6.8999998569488525,2645
nm4900399,1,6.400000095367432,1243
nm0503600,1,2.799999952316284,529
nm7691142,2,7.599999904632568,2844
nm6005643,1,3.9000000953674316,2170
nm0407789,1,6.599999904632568,16
nm11357695,1,6.599999904632568,26
nm1615002,1,7.0,88
nm11358195,1,6.699999809265137,11
nm2282844,1,5.599999904632568,4536
nm1660869,1,5.199999809265137,10
nm8141694,1,5.400000095367432,263
nm8417376,1,5.300000190734863,57
nm1819135,1,7.599999904632568,35
nm2117510,2,6.0,14978
nm7650148,1,3.0,15
nm6024677,1,5.400000095367432,8
nm0497037,1,7.099999904632568,64
nm11378475,1,5.400000095367432,9
nm6277599,1,2.700000047683716,26
nm2518732,1,9.0,272
nm8394895,1,5.900000095367432,58
nm6683943,2,9.25,32
nm11383713,1,5.900000095367432,289
nm0451155,2,2.25,42355
nm2873275,1,5.199999809265137,399
nm7618129,2,7.200000047683716,75
nm0994412,1,8.300000190734863,125
nm7073880,1,4.5,23
nm0502954,1,4.900000095367432,2775
nm0448311,2,7.400000095367432,23181
nm6947061,1,6.400000095367432,91
nm11266635,1,6.599999904632568,61
nm1010896,3,8.166666825612387,13128
nm7432235,1,8.399999618530273,99
nm11396479,1,5.099999904632568,37
nm1070766,5,6.419999980926514,2197
nm2201450,6,5.116666555404663,2728
nm1922800,1,8.5,12
nm9895736,1,8.800000190734863,8
nm2889953,1,4.599999904632568,12
nm2542579,1,5.400000095367432,12
nm0300670,3,6.699999968210856,87
nm0260410,1,7.5,45
nm7545833,3,6.6333333651224775,334
nm11416171,2,4.900000095367432,292
nm8337755,1,5.199999809265137,114
nm2522100,2,7.299999952316284,118
nm2716464,1,6.599999904632568,1896
nm4304089,1,7.099999904632568,424
nm2449331,1,5.900000095367432,40301
nm5378650,2,5.849999904632568,23907
nm7582863,1,8.199999809265137,21
nm3430436,5,7.2600000381469725,106
nm11443484,1,6.400000095367432,5
nm11444365,1,9.0,17
nm4672150,2,8.650000095367432,28
nm6129298,2,4.799999952316284,121
nm1802040,4,3.724999964237213,1919
nm5443077,2,6.25,178
nm1947050,1,6.199999809265137,17
nm11467336,1,6.300000190734863,1054
nm5517589,4,5.025000035762787,251
nm8882103,1,6.400000095367432,145
nm5457153,3,5.733333269755046,64
nm5826688,1,5.699999809265137,24
nm11476863,1,8.899999618530273,9
nm2619880,1,7.300000190734863,18
nm4643307,1,3.0999999046325684,324
nm0529619,1,7.099999904632568,39
nm4159008,1,6.199999809265137,129
nm4132661,1,6.699999809265137,831
nm5547780,1,5.900000095367432,97
nm0211110,6,4.733333269755046,5114
nm8671400,1,7.300000190734863,30
nm1695278,3,5.266666730244954,2072
nm7301585,1,5.800000190734863,10
nm0702698,1,7.5,9
nm1995392,1,8.0,13
nm11516538,1,4.800000190734863,332
nm11513480,1,6.199999809265137,11
nm9611854,2,7.900000095367432,175
nm1664945,1,5.099999904632568,196
